Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C-PF,24,TOT,26,0,17.2,3.0,6.6,.453,0.5,1.8,.277,2.5,4.8,.520,.491,0.9,1.6,.571,2.0,3.4,5.3,1.7,0.6,0.5,1.1,1.6,7.4
Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
Precious Achiuwa,PF,24,NYK,1,0,9.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
Bam Adebayo,C,26,MIA,23,23,34.1,8.0,15.7,.506,0.0,0.3,.167,7.9,15.5,.511,.507,6.0,7.8,.777,2.1,8.3,10.4,4.0,1.1,1.0,2.7,2.4,22.0
Ochai Agbaji,SG,23,UTA,34,10,21.1,2.6,5.7,.451,1.2,3.3,.354,1.4,2.4,.585,.554,0.3,0.4,.714,0.8,1.7,2.5,1.0,0.6,0.5,0.7,1.5,6.6
Santi Aldama,PF,23,MEM,25,5,24.0,4.2,9.5,.443,1.6,4.8,.345,2.6,4.7,.542,.530,0.9,1.6,.590,1.3,4.0,5.4,1.8,0.6,0.7,1.0,1.6,11.0
Nickeil Alexander-Walker,SG,25,MIN,32,11,22.6,2.4,5.8,.418,1.4,3.8,.369,1.0,1.9,.516,.541,0.3,0.5,.647,0.4,1.3,1.8,2.4,0.9,0.6,1.0,1.9,6.6
Grayson Allen,SG,28,PHO,28,28,33.2,4.5,8.8,.506,2.4,5.3,.456,2.1,3.6,.580,.642,1.8,1.9,.907,0.9,3.5,4.3,2.8,1.0,0.6,1.4,2.2,13.1
Jarrett Allen,C,25,CLE,28,28,30.0,6.0,8.9,.671,0.0,0.0,.000,6.0,8.9,.673,.671,2.4,3.4,.708,3.2,6.1,9.3,2.8,0.8,0.9,1.7,2.6,14.4
Jose Alvarado,PG,25,NOP,19,0,16.2,2.4,5.7,.426,1.2,3.1,.390,1.2,2.6,.469,.532,0.7,1.2,.591,0.5,1.9,2.4,1.8,1.1,0.4,0.9,1.5,6.7
Kyle Anderson,PF,30,MIN,32,1,23.2,2.6,5.7,.462,0.1,0.8,.125,2.5,4.9,.513,.470,1.4,2.0,.688,0.7,2.9,3.6,4.0,0.8,0.8,1.6,1.4,6.7
Giannis Antetokounmpo,PF,29,MIL,32,32,34.8,11.5,18.9,.606,0.3,1.7,.204,11.1,17.3,.645,.615,7.6,11.3,.676,2.7,8.6,11.3,5.7,1.3,1.2,3.8,2.9,30.9
Thanasis Antetokounmpo,PF,31,MIL,13,0,4.3,0.3,0.7,.444,0.0,0.0,,0.3,0.7,.444,.444,0.0,0.0,,0.2,0.2,0.5,0.5,0.2,0.1,0.4,0.5,0.6
Cole Anthony,PG,23,ORL,32,0,24.9,4.8,10.8,.448,1.3,3.8,.352,3.5,6.9,.500,.510,3.3,4.0,.836,1.1,3.3,4.4,3.5,0.8,0.4,1.8,2.7,14.3
OG Anunoby,SF,26,TOT,28,28,33.4,5.9,11.9,.492,2.3,6.0,.379,3.6,5.9,.610,.589,1.2,1.6,.717,1.0,3.0,4.0,2.6,1.1,0.5,1.6,2.4,15.2
OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.6,1.0,0.5,1.6,2.3,15.1
OG Anunoby,SF,26,NYK,1,1,35.0,7.0,12.0,.583,3.0,6.0,.500,4.0,6.0,.667,.708,0.0,0.0,,3.0,3.0,6.0,1.0,2.0,0.0,1.0,6.0,17.0
Ryan Arcidiacono,PG,29,NYK,11,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.3,0.1,0.0,0.0,0.1,0.0
Deni Avdija,SF,23,WAS,32,32,27.1,4.4,9.0,.495,0.9,2.7,.345,3.5,6.3,.560,.547,1.8,2.4,.744,1.1,4.8,5.9,3.8,0.9,0.3,1.5,2.2,11.6
Deandre Ayton,C,25,POR,24,24,31.7,6.0,10.9,.548,0.0,0.0,,6.0,10.9,.548,.548,1.2,1.5,.778,3.4,7.3,10.8,1.6,1.2,0.7,2.1,2.5,13.1
Udoka Azubuike,C,24,PHO,8,0,8.9,1.6,2.1,.765,0.0,0.0,,1.6,2.1,.765,.765,0.3,0.9,.286,1.0,1.9,2.9,0.3,0.0,0.8,0.4,1.4,3.5
Ibou Badji,C,21,POR,4,0,12.5,1.3,1.3,1.000,0.0,0.0,,1.3,1.3,1.000,1.000,0.8,1.0,.750,1.5,2.5,4.0,0.5,0.0,1.5,0.5,3.0,3.3
Marvin Bagley III,C,24,DET,25,10,18.6,4.1,7.0,.589,0.0,0.2,.167,4.1,6.8,.604,.591,1.9,2.3,.825,1.8,2.8,4.6,1.0,0.2,0.6,1.2,1.5,10.2
Amari Bailey,PG,19,CHO,2,0,5.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.5,1.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.5
Patrick Baldwin Jr.,SF,21,WAS,9,0,5.8,0.6,1.8,.313,0.3,0.8,.429,0.2,1.0,.222,.406,0.4,0.4,1.000,0.2,1.0,1.2,0.3,0.0,0.1,0.1,0.6,1.9
LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,.443,3.5,8.9,.388,5.3,10.9,.488,.530,3.6,4.2,.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7
Mo Bamba,C,25,PHI,19,0,7.9,1.5,2.6,.580,0.4,0.7,.615,1.1,1.9,.568,.660,0.6,0.8,.750,1.3,1.6,2.9,0.5,0.2,0.6,0.5,0.9,4.1
Paolo Banchero,PF,21,ORL,32,32,34.2,7.8,16.8,.465,1.3,3.6,.357,6.5,13.2,.494,.503,4.8,6.8,.697,1.2,5.8,7.0,4.7,1.0,0.6,3.1,2.0,21.7
